"ISO_Code","Countries","Rule.of.Law","Homicide","Disappearances","Violent.Conflicts","Terrorism.Fatalities","Terrorism.Injuries","Disapperances..Conflicts.and.Terrorism","Security...Safety","Domestic.Movement","Foreign.Movement","Movement","Harassment.and.Physical.Hostilities","Legal.and.Regulatory.Restrictions","Religion","Press.Killed","Press.Jailed","Laws.and.Regulations.that.Influence.Media.Content","Political.Pressures.and.Controls.on.Media.Content","Expression...Information","Male.to.Male.Relationships","Female.to.Female.Relationships","SameSex.Relationships","Identity...Relationships","Government.Consumption","Government.enterprises.and.investment","Top.marginal.income.tax.rate","Top.marginal.income.and.payroll.tax.rate","Top.marginal.tax.rate","Size.of.Government","Judicial.independence","Impartial.courts","Protection.of.property.rights","Military.interference.in.rule.of.law.and.politics","Legal.enforcement.of.contracts","Regulatory.restrictions.on.the.sale.of.real.property","Reliability.of.police","Business.costs.of.crime","Gender.Adjustment","Legal.System...Property.Rights","Money.growth","Standard.deviation.of.inflation","Inflation..Most.recent.year","Freedom.to.own.foreign.currency.bank.accounts","Sound.Money","Revenue.from.trade.taxes....of.trade.sector.","Mean.tariff.rate","Standard.deviation.of.tariff.rates","Tariffs","Nontariff.trade.barriers","Compliance.costs.of.importing.and.exporting","Regulatory.trade.barriers","Black.market.exchange.rates","Foreign.ownership...investment.restrictions","Capital.controls","Freedom.of.foreigners.to.visit","Controls.of.the.movement.of.capital.and.people","Freedom.to.trade.internationally","Ownership.of.banks","Private.sector.credit","Interest.rate.controls.negative.real.interest.rates.","Credit.market.regulations","Hiring.regulations.and.minimum.wage","Hiring.and.firing.regulations","Centralized.collective.bargaining","Hours.Regulations","Mandated.cost.of.worker.dismissal","Conscription","Labor.market.regulations","Administrative.requirements","Bureaucracy.costs","Starting.a..business","Extra.payments.bribes.favoritism","Licensing.restrictions","Tax.compliance","Business.regulations","Regulation","Income.per.Capita","Democracy"
"ALB","Albania",5.16,9.09,10,10,10,10,10,8.86,5,10,6.67,9.23,8.47,9.24,10,10,5,5.5,8.64,10,10,10,8.33,8.41,8,9,7,8,7.96,2.75,2.97,4.23,8.33,4.39,6.39,6.72,6.28,0.95,5,9.29,9.43,9.62,10,9.59,9.35,9.24,8.02,8.87,5.44,9.41,7.42,10,5.55,4.62,8.3,6.16,8.11,5,7.63,10,7.54,5.57,5.03,6.4,8,6.3,10,6.88,6.08,6,9.73,4.19,7.32,7.07,6.73,7.05,11025,5.48
"AUT","Austria",8.58,9.8,10,10,10,10,10,9.93,10,10,10,8.22,6.48,8.23,10,10,7.33,7.75,9.3,10,10,10,10,3.69,10,4,3,3.5,5.09,7.29,6.19,8.19,10,6.22,8.1,8.63,7.51,1,8.02,8.76,9.89,9.82,10,9.62,9.1,8.98,7,8.36,6.4,9.96,8.18,10,7.02,3.08,7.74,5.95,8.12,8,9.38,10,9.13,8.9,3.33,2.98,6,10,3,5.7,4.45,8.89,9.28,6.46,7.3,8.53,7.49,7.44,44075,8.32
"BEL","Belgium",8.08,9.22,10,10,10,10,10,9.74,10,10,10,8.3,6.62,8.31,10,10,9.33,9,9.76,10,10,10,9.25,2.41,10,2,0,1,3.93,7.88,5.9,7.89,10,5.57,4.77,8.13,6.82,1,7.25,9,9.76,9.89,10,9.66,9.1,8.98,7,8.36,6.62,9.96,8.29,10,7.58,3.85,7.74,6.39,8.26,10,8.82,10,9.61,8.9,3.74,4.68,6,10,10,7.22,3.73,8.67,9.44,6.89,7.46,8.2,7.45,8.09,41723,7.56
"BIH","Bosnia and Herzegovina",5.83,9.4,10,10,9.65,9.74,9.38,9.04,5,5,6.67,8.29,8.06,8.78,10,10,6.67,4.25,8.7,10,10,10,9.25,5.68,4,10,3,6.5,5.33,3.18,2.77,3.57,5.1,3.79,7.84,4.92,5.06,0.87,4.24,9.34,9.68,9.75,5,8.44,10,8.74,6.98,8.57,4.93,9.6,7.26,10,4.23,3.08,8.52,5.28,7.78,10,8.63,10,9.54,4.43,3.76,5.84,10,7.51,10,6.92,2.63,4.67,7.73,3.19,7.97,5.39,5.26,7.24,10902,4.43
"BGR","Bulgaria",5.21,9.28,10,10,10,10,10,9.76,10,10,10,7.62,6.94,8.19,10,10,6,6,7.43,10,10,10,10,5.73,8,10,7,8.5,7.01,3.37,3.61,4.48,8.33,4.77,8.84,4.21,5,0.85,4.88,8.3,9.14,9.98,10,9.36,9.1,8.98,7,8.36,5.4,9.84,7.62,10,5.1,6.92,7.63,6.55,8.13,10,8.78,10,9.59,5.57,4.76,6.48,6,9.25,10,7.01,4.16,5.56,9.25,3.6,9.2,4.92,6.11,7.57,17000,6.87
"HRV","Croatia",5.84,9.65,10,10,10,10,10,9.88,10,10,10,9.4,8.11,7.5,10,10,7,5.5,8.57,10,10,10,10,4.44,8,4,0,2,4.72,3.54,2.14,4.68,8.33,5.14,7.18,6.45,7.63,0.95,5.69,7.63,9.59,9.91,10,9.28,9.91,8.98,7,8.63,6.7,9.96,8.33,10,5,4.62,7.63,5.75,8.18,10,8.22,10,9.41,5.57,2.81,4.9,6,7.51,10,6.13,1.71,5.56,9.62,3.79,8.83,7.69,6.2,7.25,20636,6.61
"CYP","Cyprus",6.86,9.48,10,10,10,10,9.5,9.66,10,10,10,8.67,6.29,7.49,10,10,8.33,7.5,9.05,10,10,10,9.25,6.34,10,7,6,6.5,7.21,6.1,3.78,5.44,8.33,4,6.41,5.76,7.21,0.9,5.84,9.75,9.42,9.58,10,9.69,9.1,8.98,7,8.36,6.18,9.31,7.75,10,5.65,6.92,7.74,6.77,8.22,10,8.37,10,9.46,5.57,4.49,6.02,10,10,10,7.68,4.95,8.44,9.68,4.24,5,8.58,6.81,7.98,30383,7.13
"CZE","Czech Republic",7.65,9.7,10,10,10,10,10,9.9,10,10,10,8.8,8.52,8.27,10,10,8.67,8,9.17,10,10,10,9.25,3.13,8,9,4,6.5,5.19,5.71,3.47,5.86,10,3.85,8.16,5.91,7.11,0.92,6.24,8.85,9.52,9.93,10,9.58,9.1,8.98,7,8.36,6.61,9.96,8.29,10,7.74,3.08,7.74,6.19,8.21,10,9.31,10,9.77,10,4.19,6.77,10,7.76,10,8.12,3.01,7.33,9.65,4.29,6.89,7.38,6.43,8.11,30381,7.57
"DNK","Denmark",8.72,9.6,10,10,9.88,9.82,9.94,9.85,10,10,10,7.85,5.37,7.74,10,10,9.33,8.5,9.69,10,10,10,10,1.4,8,3,2,2.5,4.07,8.62,6.1,7.96,10,6.19,9.73,8.29,7.35,1,8.25,8.79,9.74,9.91,10,9.61,9.1,8.98,7,8.36,5.94,9.96,7.95,10,7.38,6.92,7.74,7.35,8.42,10,9.26,10,9.75,10,7.42,8.31,8,10,3,7.79,3.84,7.56,9.86,7.82,9.87,8.54,7.91,8.49,45484,9.04
"EST","Estonia",7.58,8.72,10,10,10,10,10,9.57,10,10,10,9.56,8.1,9.22,10,10,8.33,9,9.62,10,10,10,9.25,3.56,7,10,4,7,6.04,7.86,5.72,7.57,8.33,5.93,9.5,8.45,7.56,1,7.51,8.51,9.54,9.91,10,9.49,9.1,8.98,8.63,8.9,6.58,9.92,8.25,10,7.86,5.38,7.74,7,8.54,10,10,10,10,6.67,6.11,8.63,4,9.25,3,6.28,5.14,9.56,9.82,6.93,9.26,9.06,8.29,8.19,27329,7.61
"FIN","Finland",8.67,9.36,10,10,10,9.96,9.99,9.78,10,10,10,9.22,7.64,8.95,10,10,8.67,9.25,9.7,10,10,10,9.25,2.76,8,3,2,2.5,4.23,9.57,7.92,9.12,10,6.65,8.08,9.65,8.94,1,8.88,8.74,9.72,9.96,10,9.6,9.82,8.98,7,8.6,7.34,9.12,8.23,10,7.56,3.08,7.74,6.13,8.24,10,8.23,10,9.41,3.9,4.23,3.67,8,10,3,5.47,5.85,7.78,9.52,8.63,9.86,8.96,8.43,7.77,38994,8.87
"FRA","France",6.91,9.37,10,10,9.19,9.52,9.74,9.7,10,10,10,7.68,6.71,8.13,0,10,8,6.25,7.75,10,10,10,10,2.86,8,5,2,3.5,4.2,7.12,6.15,7.42,9.17,6.43,6.39,7.93,6.33,0.95,7.07,9.25,9.83,9.99,10,9.77,9.82,8.98,7,8.6,5.41,9.96,7.69,10,6.99,5.38,7.74,6.71,8.25,10,8.29,10,9.43,2.23,2.69,4.81,4,8.5,10,5.37,2.93,8.67,9.88,6.24,7.93,8.44,7.35,7.38,37766,7.69
